movie_name,genres,percentage_ROI_gross_budget,gross,budget,average_rating,number_vote,primary_name,primary_profession,release_date,release_year,runtime_minutes,distributor,max_theatre_count
ex machina,"drama,mystery,sci-fi",100,25440971,13000000,7.65,216284.0,Alex Garland,"writer,producer,director",2015-04-10 00:00:00,2014,108.0,A24,"2,004"
the longest ride,"drama,romance",100,37446117,34000000,7.3,36117.0,Craig Bolotin,"writer,director,producer",2015-04-10 00:00:00,2015,123.0,20th Cent…,"3,371"
lost river,"drama,fantasy,mystery",0,45431,2000000,5.8,8009.0,Ryan Gosling,"actor,soundtrack,producer",2015-04-10 00:00:00,2014,95.0,Warner Bros.,3
while we're young,"comedy,drama,mystery",0,7582065,10000000,6.1,20968.0,Noah Baumbach,"writer,director,producer",2015-04-17 00:00:00,2014,97.0,A24,762
paul blart: mall cop 2,"action,comedy,crime",100,71091594,38000000,4.7,15864.0,Nick Bakay,"actor,producer,writer",2015-04-17 00:00:00,2015,94.0,Sony Pict…,"3,633"
unfriended,"horror,mystery,thriller",3200,32789645,1000000,5.5,32031.0,Nelson Greaves,"writer,producer,actor",2015-04-17 00:00:00,2014,83.0,Universal,"2,775"
the age of adaline,"drama,fantasy,romance",100,42629776,30000000,7.300000000000001,71388.0,J. Mills Goodloe,"miscellaneous,writer,actor",2015-04-24 00:00:00,2015,112.0,Lionsgate,"3,070"
brotherly love,drama,0,478595,1900000,6.75,820.0,Jamal Hill,"director,writer,producer",2015-04-24 00:00:00,2015,89.0,Freestyle…,200
avengers: age of ultron,"action,adventure,sci-fi",100,459005868,330600000,7.3,339525.0,Jack Kirby,"writer,animation_department,miscellaneous",2015-05-01 00:00:00,2015,141.0,Walt Disney,"4,276"
the visit,"horror,mystery,thriller",1300,65206105,5000000,7.1,51230.0,M. Night Shyamalan,"producer,writer,director",2015-05-01 00:00:00,2015,94.0,Universal,"3,148"
tag,comedy,100,54730625,28000000,5.25,42593.0,Mark Steilen,"producer,writer,assistant_director",2015-05-04 00:00:00,2018,100.0,Warner Bros.,"3,382"
maggie,"drama,horror",0,187112,4500000,5.449999999999999,19814.0,John Scott 3,"writer,director,producer",2015-05-08 00:00:00,2015,95.0,Roadside …,79
hot pursuit,"action,comedy,crime",0,34580201,35000000,5.35,22861.0,David Feeney,"producer,writer,miscellaneous",2015-05-08 00:00:00,2015,87.0,Warner Bros.,"3,037"
