movie_name,genres,percentage_ROI_gross_budget,gross,budget,opening_weekend_boxoffice,average_rating,number_vote,primary_name,primary_profession,release_date,release_year,runtime_minutes,distributor,max_theatre_count
here comes the boom,"action,comedy,sport",107.83,45290318.0,42000000.0,11816596.0,6.2,41286.0,Kevin James,"actor,producer,writer",2012-10-12 00:00:00,2012,105.0,Sony Pict…,"3,014"
alex cross,"action,crime,mystery",73.97,25888412.0,35000000.0,11396768.0,5.1,15687.0,Marc Moss,"writer,miscellaneous",2012-10-18 00:00:00,2012,101.0,Lionsgate,"2,541"
the sessions,"biography,comedy,drama",600.25,6002451.0,1000000.0,113467.0,7.050000000000001,20013.0,Ben Lewin,"director,writer,producer",2012-10-18 00:00:00,2012,95.0,Fox Searc…,516
the first time,"comedy,drama,romance",0.85,17061.0,2000000.0,17061.0,6.95,32007.0,Jonathan Kasdan,"actor,writer,director",2012-10-19 00:00:00,2012,95.0,Samuel Go…,19
paranormal activity 4,"horror,mystery,thriller",1078.01,53900335.0,5000000.0,29003866.0,5.0,29717.0,Christopher Landon,"writer,producer,director",2012-10-19 00:00:00,2012,88.0,Paramount…,"3,412"
cloud atlas,"action,drama,mystery",26.58,27108272.0,102000000.0,9612247.0,7.1,165489.0,Tom Tykwer,"composer,writer,director",2012-10-26 00:00:00,2012,172.0,Warner Bros.,"2,023"
fun size,"adventure,comedy",67.21,9409538.0,14000000.0,4101017.0,5.45,6587.0,Max Werner,"writer,producer,miscellaneous",2012-10-26 00:00:00,2012,86.0,Paramount…,"3,016"
chasing mavericks,"biography,drama,sport",30.01,6002756.0,20000000.0,2268274.0,7.1,14661.0,Brandon Hooper,"actor,writer,producer",2012-10-26 00:00:00,2012,116.0,20th Cent…,"2,030"
wreck-it ralph,"adventure,animation,comedy",114.8,189412677.0,165000000.0,49038712.0,7.5,176138.0,John C. Reilly,"actor,writer,producer",2012-11-02 00:00:00,2012,101.0,Walt Disney,"3,752"
the man with the iron fists,action,104.23,15634090.0,15000000.0,7910980.0,5.35,29379.0,Eli Roth,"producer,actor,writer",2012-11-02 00:00:00,2012,95.0,Universal,"1,872"
flight,"drama,thriller",302.49,93772375.0,31000000.0,24900566.0,7.0,153295.0,John Gatins,"actor,writer,producer",2012-11-02 00:00:00,2012,138.0,Paramount…,"2,638"
vamps,"comedy,horror,thriller",0.02,3361.0,16000000.0,548.0,4.75,79.0,Marcus Dreeke,"actor,miscellaneous,director",2012-11-02 00:00:00,2010,89.0,Anchor Ba…,1
skyfall,"action,adventure,thriller",152.18,304360277.0,200000000.0,88364714.0,7.449999999999999,301331.0,Ian Fleming,"writer,miscellaneous",2012-11-09 00:00:00,2012,143.0,Sony Pict…,"3,526"
jab tak hai jaan,"drama,romance",33.13,3047539.0,9200000.0,1283585.0,6.85,24235.0,Devika Bhagat,"writer,assistant_director,director",2012-11-13 00:00:00,2012,176.0,Yash Raj …,164
lincoln,"biography,drama,history",280.32,182207973.0,65000000.0,944308.0,7.1,115481.0,Doris Kearns Goodwin,"miscellaneous,writer,actress",2012-11-16 00:00:00,2012,150.0,Walt Disney,"2,293"
life of pi,"adventure,drama,fantasy",104.16,124987022.0,120000000.0,22451514.0,7.6,272279.0,David Magee,writer,2012-11-21 00:00:00,2012,127.0,20th Cent…,"2,946"
rise of the guardians,"action,adventure,animation",71.32,103412758.0,145000000.0,23773465.0,7.3,74489.0,William Joyce,"producer,writer,art_department",2012-11-21 00:00:00,2012,97.0,Paramount…,"3,672"
red dawn,"action,sci-fi,thriller",68.93,44806783.0,65000000.0,14276668.0,5.4,35224.0,Carl Ellsworth,"writer,miscellaneous,actor",2012-11-21 00:00:00,2012,93.0,Open Road,"2,781"
killing them softly,"crime,thriller",99.64,14945541.0,15000000.0,6812900.0,6.1,62595.0,Andrew Dominik,"director,writer,camera_department",2012-11-30 00:00:00,2012,97.0,Weinstein…,"2,424"
deadfall,"crime,drama,thriller",1.11,66351.0,6000000.0,19391.0,6.1,18424.0,Zach Dean,"writer,producer",2012-12-07 00:00:00,2012,95.0,Magnolia …,17
the hobbit: an unexpected journey,"adventure,family,fantasy",121.2,303003568.0,250000000.0,84617303.0,7.550000000000001,365852.0,Peter Jackson,"producer,director,writer",2012-12-14 00:00:00,2012,169.0,Warner Bros.,"4,100"
zero dark thirty,"drama,thriller",182.33,95720716.0,52500000.0,417150.0,7.15,126812.0,Mark Boal,"writer,producer,director",2012-12-19 00:00:00,2012,157.0,Sony Pict…,"2,946"
amour,"drama,romance",69.47,6738954.0,9700000.0,68266.0,7.800000000000001,42853.0,Michael Haneke,"director,writer,actor",2012-12-19 00:00:00,2012,127.0,Sony Pict…,333
the guilt trip,"comedy,drama",92.84,37134215.0,40000000.0,5290629.0,5.6,17052.0,Dan Fogelman,"writer,producer,miscellaneous",2012-12-19 00:00:00,2012,95.0,Paramount…,"2,431"
jack reacher,"action,crime,thriller",133.45,80070736.0,60000000.0,15210156.0,6.7,144351.0,Christopher McQuarrie,"writer,producer,director",2012-12-21 00:00:00,2012,130.0,Paramount…,"3,352"
this is 40,"comedy,romance",192.98,67544505.0,35000000.0,11579175.0,5.95,60079.0,Judd Apatow,"producer,writer,director",2012-12-21 00:00:00,2012,134.0,Universal,"2,931"
cirque du soleil: worlds away,fantasy,50.05,12512862.0,25000000.0,2282368.0,6.8,3862.0,Andrew Adamson,"producer,writer,director",2012-12-21 00:00:00,2012,91.0,Paramount…,840
django unchained,"drama,western",162.81,162805434.0,100000000.0,30122888.0,8.2,613565.0,Quentin Tarantino,"writer,actor,producer",2012-12-25 00:00:00,2012,165.0,Weinstein…,"3,012"
silver linings playbook,"comedy,drama,romance",629.01,132092958.0,21000000.0,443003.0,7.4,314327.0,David O. Russell,"producer,director,writer",2012-12-25 00:00:00,2012,122.0,Weinstein…,"2,809"
parental guidance,"comedy,family",309.07,77267296.0,25000000.0,14554053.0,5.949999999999999,11993.0,Lisa Addario,"writer,director,producer",2012-12-25 00:00:00,2012,105.0,20th Cent…,"3,368"
promised land,drama,50.65,7597898.0,15000000.0,173915.0,6.4,17518.0,Matt Damon,"producer,actor,soundtrack",2012-12-28 00:00:00,2012,106.0,Focus Fea…,"1,676"
texas chainsaw 3d,"horror,thriller",171.71,34341945.0,20000000.0,21744470.0,5.05,21282.0,Tobe Hooper,"director,writer,producer",2013-01-04 00:00:00,2013,92.0,Lionsgate,"2,659"
gangster squad,"action,crime,drama",76.67,46000903.0,60000000.0,17070347.0,6.5,99043.0,Will Beall,"miscellaneous,writer,producer",2013-01-11 00:00:00,2013,113.0,Warner Bros.,"3,103"
a haunted house,"comedy,fantasy",1601.67,40041683.0,2500000.0,18101682.0,5.3,20589.0,Marlon Wayans,"actor,writer,producer",2013-01-11 00:00:00,2013,86.0,Open Road,"2,160"
the last stand,"action,thriller",40.17,12050299.0,30000000.0,6281433.0,6.15,64157.0,Andrew Knauer,"writer,director,actor",2013-01-12 00:00:00,2013,107.0,Lionsgate,"2,913"
broken city,"crime,drama,thriller",56.29,19701164.0,35000000.0,8268908.0,6.050000000000001,36259.0,Brian Tucker,"writer,producer",2013-01-18 00:00:00,2013,109.0,20th Cent…,"2,622"
whiplash,"drama,music",396.73,13092006.0,3300000.0,135388.0,8.2,308505.0,Damien Chazelle,"producer,writer,director",2013-01-18 00:00:00,2014,106.0,Sony Pict…,567
parker,"action,crime,thriller",50.33,17616641.0,35000000.0,7008222.0,6.0,53698.0,John J. McLaughlin,"writer,miscellaneous,producer",2013-01-25 00:00:00,2013,118.0,FilmDistrict,"2,238"
movie 43,comedy,88.4,8840453.0,10000000.0,4805878.0,4.35,47156.0,Ricky Blitt,"writer,producer,actor",2013-01-25 00:00:00,2013,94.0,Relativity,"2,023"
bullet to the head,"action,crime,thriller",17.25,9489829.0,55000000.0,4548201.0,5.550000000000001,22748.0,Alessandro Camon,"producer,writer",2013-02-01 00:00:00,2012,92.0,Warner Bros.,"2,404"
warm bodies,"comedy,horror,romance",221.27,66380662.0,30000000.0,20353967.0,6.6,106409.0,Jonathan Levine,"writer,director,producer",2013-02-01 00:00:00,2013,98.0,Lionsgate,"3,009"
side effects,"crime,drama,mystery",107.24,32172757.0,30000000.0,9303145.0,6.8,85172.0,Scott Z. Burns,"writer,producer,director",2013-02-08 00:00:00,2013,106.0,Open Road,"2,605"
identity thief,"adventure,comedy,crime",384.31,134506920.0,35000000.0,34551025.0,5.75,58927.0,Craig Mazin,"writer,producer,soundtrack",2013-02-09 00:00:00,2013,111.0,Universal,"3,230"
a good day to die hard,"action,thriller",73.21,67349198.0,92000000.0,24834845.0,5.25,96410.0,Roderick Thorp,"writer,actor,miscellaneous",2013-02-14 00:00:00,2013,98.0,20th Cent…,"3,555"
beautiful creatures,"drama,fantasy,romance",38.9,19452138.0,50000000.0,7582595.0,5.95,40795.0,Richard LaGravenese,"writer,producer,director",2013-02-14 00:00:00,2013,124.0,Warner Bros.,"2,950"
escape from planet earth,"adventure,animation,comedy",142.53,57012977.0,40000000.0,15891055.0,5.85,11878.0,Stephen Fry,"actor,writer,producer",2013-02-14 00:00:00,2013,89.0,Weinstein…,"3,353"
safe haven,"drama,romance,thriller",255.0,71399120.0,28000000.0,21401594.0,6.9,49244.0,Nicholas Sparks,"writer,producer",2013-02-14 00:00:00,2013,115.0,Relativity,"3,223"
dark skies,"horror,sci-fi,thriller",497.68,17418667.0,3500000.0,8189166.0,6.199999999999999,33379.0,Scott Stewart,"producer,writer,visual_effects",2013-02-22 00:00:00,2013,97.0,Weinstein…,"2,313"
jack the giant slayer,"adventure,fantasy",33.43,65187603.0,195000000.0,27202226.0,5.949999999999999,63265.0,Christopher McQuarrie,"writer,producer,director",2013-03-01 00:00:00,2013,114.0,Warner Bros.,"3,525"
the last exorcism part ii,"drama,horror,thriller",379.48,15179303.0,4000000.0,7728354.0,4.25,7710.0,Andrew Gurland,"producer,writer,director",2013-03-01 00:00:00,2013,88.0,CBS Films,"2,700"
phantom,"drama,history,thriller",5.75,1034589.0,18000000.0,266756.0,5.95,6468.0,Todd Robinson,"producer,writer,director",2013-03-01 00:00:00,2013,98.0,UTV Commu…,93
oz the great and powerful,"adventure,family,fantasy",117.39,234770996.0,200000000.0,79110453.0,6.05,98437.0,L. Frank Baum,"writer,producer,miscellaneous",2013-03-08 00:00:00,2013,130.0,Walt Disney,"3,912"
dead man down,"action,crime,drama",36.32,10895295.0,30000000.0,5345250.0,6.25,31052.0,J.H. Wyman,"producer,writer,actor",2013-03-08 00:00:00,2013,118.0,FilmDistrict,"2,188"
cheap thrills,"comedy,crime,drama",59.42,59424.0,100000.0,18638.0,6.550000000000001,8322.0,Roald Dahl,"writer,actor,soundtrack",2013-03-08 00:00:00,2013,88.0,Drafthous…,18
upside down,drama,0.2,102118.0,50000000.0,28722.0,6.95,825.0,John Shepphird,"director,writer,editor",2013-03-14 00:00:00,2011,91.62130403630285,Alchemy,39
the call,"crime,drama,horror",405.25,51872378.0,12800000.0,138237.0,6.7,52779.0,Richard D'Ovidio,"writer,producer,actor",2013-03-14 00:00:00,2013,94.0,Atlas Dis…,195
spring breakers,"comedy,crime,drama",282.49,14124286.0,5000000.0,263002.0,5.15,64499.0,Harmony Korine,"director,writer,actor",2013-03-15 00:00:00,2012,94.0,A24,"1,379"
the incredible burt wonderstone,"adventure,comedy,fantasy",70.43,22537881.0,32000000.0,10177257.0,5.65,34234.0,John Francis Daley,"actor,writer,director",2013-03-15 00:00:00,2013,100.0,Warner Bros.,"3,160"
the reluctant fundamentalist,"drama,thriller",3.52,528731.0,15000000.0,30920.0,6.800000000000001,6315.0,Javed Akhtar,"music_department,writer,soundtrack",2013-03-17 00:00:00,2012,130.0,IFC Films,58
the croods,"action,adventure,animation",138.64,187168425.0,135000000.0,43639736.0,7.0,90286.0,John Cleese,"actor,writer,producer",2013-03-22 00:00:00,2013,98.0,20th Cent…,"4,065"
olympus has fallen,"action,thriller",141.33,98927592.0,70000000.0,30373794.0,6.35,119764.0,Creighton Rothenberger,writer,2013-03-22 00:00:00,2013,119.0,FilmDistrict,"3,106"
admission,"comedy,drama,romance",138.52,18007317.0,13000000.0,6154984.0,5.6,16117.0,Karen Croner,"writer,producer,editorial_department",2013-03-22 00:00:00,2013,107.0,Focus Fea…,"2,161"
the place beyond the pines,"crime,drama,thriller",142.69,21403519.0,15000000.0,279457.0,7.1,114773.0,Derek Cianfrance,"director,writer,cinematographer",2013-03-27 00:00:00,2012,140.0,Focus Fea…,"1,584"
g.i. joe: retaliation,"action,adventure,sci-fi",87.52,122523060.0,140000000.0,40501814.0,5.65,84709.0,Rhett Reese,"writer,producer,miscellaneous",2013-03-29 00:00:00,2013,110.0,Paramount…,"3,734"
the host,"action,adventure,drama",53.25,26623701.0,50000000.0,10600112.0,6.050000000000001,54210.0,Andrew Niccol,"writer,director,producer",2013-03-29 00:00:00,2013,125.0,Open Road,"3,202"
concussion,drama,98.66,34531832.0,35000000.0,10513749.0,5.6,1934.0,Stacie Passon,"director,writer,producer",2013-04-04 00:00:00,2013,96.0,Sony Pict…,"2,841"
evil dead,"fantasy,horror,thriller",319.06,54239856.0,17000000.0,25775847.0,6.45,74531.0,Sam Raimi,"producer,writer,director",2013-04-05 00:00:00,2013,91.0,Sony Pict…,"3,025"
trance,horror,14.52,2322593.0,16000000.0,131145.0,5.6,712.0,John Fallon,"actor,writer,producer",2013-04-05 00:00:00,2010,83.0,Fox Searc…,443
the brass teapot,"comedy,fantasy,thriller",0.78,6997.0,900000.0,4468.0,6.2,6993.0,Ramaa Mosley,"producer,director,writer",2013-04-05 00:00:00,2012,101.0,Magnet Pi…,2
42,"biography,drama,sport",306.52,95020213.0,31000000.0,27487144.0,7.25,39365.0,Brian Helgeland,"writer,director,producer",2013-04-12 00:00:00,2013,128.0,Warner Bros.,"3,405"
oblivion,"action,adventure,sci-fi",74.26,89107235.0,120000000.0,37054485.0,6.75,230408.0,Michael Arndt,"writer,miscellaneous,producer",2013-04-18 00:00:00,2013,124.0,Universal,"3,792"
the lords of salem,"horror,thriller",77.73,1165881.0,1500000.0,642942.0,5.199999999999999,12767.0,Rob Zombie,"soundtrack,director,actor",2013-04-19 00:00:00,2012,101.0,Anchor Ba…,355
home run,"drama,sport",238.33,2859955.0,1200000.0,1582466.0,6.15,1389.0,Brian Brightly,"writer,director,producer",2013-04-19 00:00:00,2013,113.0,Samuel Go…,381
filly brown,"drama,music",228.03,2850357.0,1250000.0,1478323.0,6.1,506.0,Youssef Delara,"visual_effects,editor,director",2013-04-19 00:00:00,2012,80.0,Lionsgate,259
the big wedding,"comedy,drama,romance",67.14,21819348.0,32500000.0,7591663.0,5.699999999999999,22449.0,Jean-Stéphane Bron,"director,writer,producer",2013-04-25 00:00:00,2013,89.0,Lionsgate,"2,633"
pain & gain,"action,comedy,crime",191.83,49875291.0,26000000.0,20244505.0,6.25,95160.0,Christopher Markus,"writer,producer,actor",2013-04-26 00:00:00,2013,129.0,Paramount…,"3,303"
friend request,thriller,37.97,3759078.0,9900000.0,2002863.0,4.75,79.0,Jason Falasco,"cinematographer,editor,camera_department",2013-05-05 00:00:00,2013,91.0,Entertain…,"2,573"
peeples,"comedy,romance",83.43,9177065.0,11000000.0,4611534.0,5.25,2243.0,Tina Gordon,"writer,producer,director",2013-05-09 00:00:00,2013,95.0,Lionsgate,"2,041"
the great gatsby,"drama,romance",76.23,144840419.0,190000000.0,50085184.0,7.35,220142.0,F. Scott Fitzgerald,writer,2013-05-10 00:00:00,2013,143.0,Warner Bros.,"3,550"
mud,drama,215.9,21590086.0,10000000.0,2215460.0,7.2,79189.0,Jeff Nichols,"writer,director,producer",2013-05-10 00:00:00,2012,130.0,Roadside …,960
captive,"drama,horror,sci-fi",129.17,2583301.0,2000000.0,1395378.0,3.9499999999999997,41.0,Stephen Patrick Kenny,"producer,director,writer",2013-05-14 00:00:00,2016,84.0,Paramount…,807
star trek into darkness,"action,adventure,sci-fi",120.41,228778661.0,190000000.0,70165559.0,7.550000000000001,225858.0,Alex Kurtzman,"producer,writer,miscellaneous",2013-05-16 00:00:00,2013,132.0,Paramount…,"3,907"
